product,month,complaint_count,is_sparse,is_oversized
Student loan,2024-07,540,False,False
Student loan,2024-08,520,False,False
Student loan,2024-09,758,False,False
Student loan,2024-10,726,False,False
Student loan,2024-11,481,True,False
Student loan,2024-12,746,False,False
Student loan,2025-01,1209,False,False
Student loan,2025-02,992,False,False
Student loan,2025-03,1828,False,False
Student loan,2025-04,1148,False,False
Student loan,2025-05,1054,False,False
Student loan,2025-06,765,False,False
Student loan,2025-07,848,False,False
Student loan,2025-08,675,False,False
Student loan,2025-09,658,False,False
Student loan,2025-10,556,False,False
Student loan,2025-11,587,False,False
Student loan,2025-12,554,False,False
Student loan,2026-01,764,False,False
Student loan,2026-02,389,True,False
Student loan,2026-03,703,False,False
Student loan,2026-04,764,False,False
Student loan,2026-05,544,False,False
Student loan,2026-06,355,True,False
Student loan,2026-07,17,True,False
